,ORIGIN_AIRPORT,DESTINATION_AIRPORT,TOTAL_FLIGHTS,ARRIVAL_DELAY,DELAY_RATIO
169,ATL,FCA,25,5,0.2
170,ATL,FLL,7388,2711,0.367
171,ATL,FNT,948,300,0.316
172,ATL,FSD,330,146,0.442
173,ATL,FSM,663,300,0.452
174,ATL,FWA,1053,398,0.378
175,ATL,GJT,0,0,
176,ATL,GNV,2071,899,0.434
177,ATL,GPT,1404,399,0.284
178,ATL,GRB,400,175,0.438
179,ATL,GRK,583,243,0.417
180,ATL,GRR,1287,337,0.262
181,ATL,GSO,2654,888,0.335
182,ATL,GSP,2451,727,0.297
183,ATL,GTR,912,282,0.309
184,ATL,HDN,95,26,0.274
185,ATL,HNL,332,134,0.404
186,ATL,HOU,4006,1174,0.293
187,ATL,HPN,1815,865,0.477
188,ATL,HSV,2444,711,0.291
189,ATL,IAD,2602,887,0.341
190,ATL,IAH,3770,1280,0.34
191,ATL,ICT,964,230,0.239
192,ATL,ILM,1598,538,0.337
193,ATL,IND,3794,1325,0.349
194,ATL,JAC,103,23,0.223
195,ATL,JAN,2279,623,0.273
196,ATL,JAX,5085,1918,0.377
197,ATL,JFK,1889,770,0.408
198,ATL,LAN,13,6,0.462
199,ATL,LAS,4074,1354,0.332
200,ATL,LAX,5636,2010,0.357
201,ATL,LEX,2250,685,0.304
202,ATL,LFT,1184,437,0.369
203,ATL,LGA,7955,3217,0.404
204,ATL,LIT,1967,491,0.25
205,ATL,LNK,317,142,0.448
206,ATL,MBS,15,4,0.267
207,ATL,MCI,3459,1078,0.312
208,ATL,MCO,8148,3129,0.384
209,ATL,MDT,949,252,0.266
210,ATL,MDW,4445,1386,0.312
211,ATL,MEM,3089,896,0.29
212,ATL,MGM,2185,824,0.377
213,ATL,MHT,329,94,0.286
214,ATL,MIA,5112,1747,0.342
215,ATL,MKE,3142,905,0.288
216,ATL,MLB,1327,428,0.323
217,ATL,MLI,753,400,0.531
218,ATL,MLU,1189,450,0.378
219,ATL,MOB,2231,896,0.402
220,ATL,MSN,890,219,0.246
221,ATL,MSO,15,5,0.333
222,ATL,MSP,4697,1600,0.341
223,ATL,MSY,5532,1651,0.298
224,ATL,MTJ,35,11,0.314
225,ATL,MYR,1410,509,0.361
226,ATL,OAJ,1120,518,0.462
227,ATL,OAK,64,13,0.203
228,ATL,OKC,1954,575,0.294
229,ATL,OMA,1608,454,0.282
230,ATL,ONT,3,0,0.0
231,ATL,ORD,6373,2542,0.399
232,ATL,ORF,2649,735,0.277
233,ATL,PBI,4182,1438,0.344
234,ATL,PDX,1084,261,0.241
235,ATL,PHF,1238,513,0.414
236,ATL,PHL,6526,2326,0.356
237,ATL,PHX,3639,1128,0.31
238,ATL,PIA,887,379,0.427
239,ATL,PIT,3245,899,0.277
240,ATL,PNS,2251,684,0.304
241,ATL,PVD,934,239,0.256
242,ATL,PWM,604,168,0.278
243,ATL,RAP,15,8,0.533
244,ATL,RDU,4678,1412,0.302
245,ATL,RIC,3536,1130,0.32
246,ATL,ROA,1456,530,0.364
247,ATL,ROC,966,246,0.255
248,ATL,RST,316,100,0.316
249,ATL,RSW,3907,1246,0.319
250,ATL,SAN,2037,504,0.247
251,ATL,SAT,2852,924,0.324
252,ATL,SAV,3125,974,0.312
253,ATL,SBN,1104,431,0.39
254,ATL,SCE,39,10,0.256
255,ATL,SDF,2719,781,0.287
256,ATL,SEA,2665,763,0.286
257,ATL,SFO,3113,917,0.295
258,ATL,SGF,1275,456,0.358
259,ATL,SHV,2001,695,0.347
260,ATL,SJC,274,79,0.288
261,ATL,SJU,1416,516,0.364
262,ATL,SLC,2536,660,0.26
263,ATL,SMF,552,151,0.274
264,ATL,SNA,960,276,0.288
265,ATL,SRQ,1926,549,0.285
266,ATL,STL,3511,1115,0.318
267,ATL,STT,628,171,0.272
268,ATL,STX,37,11,0.297
269,ATL,SYR,960,295,0.307
270,ATL,TLH,2091,674,0.322
271,ATL,TPA,7033,2627,0.374
272,ATL,TRI,1912,592,0.31
273,ATL,TTN,321,194,0.604
274,ATL,TUL,1509,485,0.321
275,ATL,TUS,615,152,0.247
276,ATL,TVC,33,17,0.515
277,ATL,TYS,1699,540,0.318
278,ATL,VLD,921,385,0.418
279,ATL,VPS,2185,636,0.291
280,ATL,XNA,1555,552,0.355
281,ATW,ATL,410,107,0.261
282,ATW,DTW,474,155,0.327
283,ATW,MSP,516,231,0.448
284,ATW,ORD,1359,583,0.429
285,AUS,ATL,3140,1038,0.331
286,AUS,BNA,622,210,0.338
287,AUS,BOS,395,225,0.57
288,AUS,BWI,630,241,0.383
289,AUS,CLT,419,165,0.394
290,AUS,DAL,3813,1507,0.395
291,AUS,DCA,328,96,0.293
292,AUS,DEN,2826,1070,0.379
293,AUS,DFW,4534,1301,0.287
294,AUS,DTW,316,117,0.37
295,AUS,ELP,859,288,0.335
296,AUS,EWR,922,314,0.341
297,AUS,FLL,785,349,0.445
298,AUS,HOU,1295,552,0.426
299,AUS,HRL,321,136,0.424
300,AUS,IAD,108,24,0.222
301,AUS,IAH,2044,814,0.398
302,AUS,JFK,1553,497,0.32
303,AUS,LAS,1180,357,0.303
304,AUS,LAX,2564,912,0.356
305,AUS,LBB,311,103,0.331
306,AUS,LGB,473,200,0.423
307,AUS,MCO,988,451,0.456
308,AUS,MDW,859,325,0.378
309,AUS,MEM,8,3,0.375
310,AUS,MIA,204,73,0.358
311,AUS,MSP,124,24,0.194
312,AUS,MSY,339,106,0.313
313,AUS,OAK,334,131,0.392
314,AUS,ORD,2213,728,0.329
315,AUS,PDX,99,25,0.253
316,AUS,PHL,263,107,0.407
317,AUS,PHX,1570,527,0.336
318,AUS,SAN,625,210,0.336
319,AUS,SEA,459,153,0.333
320,AUS,SFO,2036,750,0.368
321,AUS,SJC,601,166,0.276
322,AUS,SLC,584,142,0.243
323,AUS,SNA,156,47,0.301
324,AUS,STL,156,40,0.256
325,AUS,TPA,336,157,0.467
326,AVL,ATL,1828,579,0.317
327,AVL,EWR,156,67,0.429
328,AVL,ORD,689,287,0.417
329,AVP,ATL,322,71,0.22
330,AVP,DTW,467,153,0.328
331,AVP,EWR,52,13,0.25
332,AVP,ORD,485,226,0.466
333,AZO,ATL,16,7,0.438
334,AZO,DTW,366,99,0.27
335,AZO,MSP,113,37,0.327
336,AZO,ORD,1248,355,0.284
337,BDL,ATL,2301,583,0.253
338,BDL,BWI,2155,618,0.287
339,BDL,CLE,129,75,0.581
340,BDL,CLT,1596,510,0.32
341,BDL,CVG,14,5,0.357
342,BDL,DCA,649,198,0.305
343,BDL,DEN,339,105,0.31
344,BDL,DFW,616,220,0.357
345,BDL,DTW,1350,308,0.228
346,BDL,EWR,457,148,0.324
347,BDL,FLL,928,296,0.319
348,BDL,IAD,159,69,0.434
349,BDL,IAH,3,2,0.667
350,BDL,LAS,265,73,0.275
351,BDL,MCO,1633,518,0.317
352,BDL,MDW,852,291,0.342
353,BDL,MIA,372,154,0.414
354,BDL,MSP,841,211,0.251
355,BDL,ORD,1424,525,0.369
356,BDL,PBI,335,173,0.516
357,BDL,PHL,5,0,0.0
358,BDL,RDU,176,42,0.239
359,BDL,RSW,388,111,0.286
360,BDL,SJU,451,186,0.412
361,BDL,TPA,937,270,0.288
362,BET,ANC,880,328,0.373
363,BFL,DEN,602,184,0.306
364,BFL,IAH,477,160,0.335
365,BFL,PHX,868,314,0.362
366,BFL,SFO,640,193,0.302
367,BGM,DTW,259,70,0.27
368,BGR,DTW,311,103,0.331
369,BGR,LGA,52,17,0.327
370,BHM,ATL,3191,814,0.255
371,BHM,BWI,577,250,0.433
372,BHM,DAL,678,193,0.285
373,BHM,DEN,327,127,0.388
374,BHM,DFW,590,248,0.42
375,BHM,DTW,579,241,0.416
376,BHM,HOU,603,171,0.284
377,BHM,IAH,1549,644,0.416
378,BHM,LAS,334,96,0.287
379,BHM,LGA,447,171,0.383
380,BHM,MCO,659,245,0.372
381,BHM,MDW,616,188,0.305
382,BHM,MIA,533,205,0.385
383,BHM,ORD,975,450,0.462
384,BHM,TPA,624,182,0.292
385,BIL,COD,0,0,
386,BIL,DEN,1093,294,0.269
387,BIL,MSP,642,101,0.157
388,BIL,ORD,46,9,0.196
389,BIL,SEA,13,3,0.231
390,BIL,SLC,1057,226,0.214
391,BIS,DEN,1258,413,0.328
392,BIS,DFW,316,100,0.316
393,BIS,MSP,1487,589,0.396
394,BIS,ORD,321,95,0.296
395,BJI,MSP,664,172,0.259
396,BLI,HNL,154,40,0.26
397,BLI,LAS,217,53,0.244
398,BLI,OGG,87,18,0.207
399,BLI,SEA,246,118,0.48
400,BMI,ATL,858,332,0.387
401,BMI,DEN,3,2,0.667
402,BMI,DFW,625,209,0.334
403,BMI,DTW,136,44,0.324
404,BMI,MCO,33,27,0.818
405,BMI,MSP,69,52,0.754
406,BMI,ORD,896,249,0.278
407,BNA,ATL,3203,1001,0.313
408,BNA,AUS,612,240,0.392
409,BNA,BOS,631,268,0.425
410,BNA,BWI,1815,747,0.412
411,BNA,CHS,344,134,0.39
412,BNA,CLE,786,268,0.341
413,BNA,CLT,1271,566,0.445
414,BNA,CMH,631,297,0.471
415,BNA,CVG,304,112,0.368
416,BNA,DAL,888,275,0.31
417,BNA,DCA,958,205,0.214
418,BNA,DEN,1965,634,0.323
419,BNA,DFW,2662,805,0.302
420,BNA,DTW,2024,722,0.357
421,BNA,ECP,590,215,0.364
422,BNA,EWR,1747,664,0.38
423,BNA,FLL,773,284,0.367
424,BNA,HOU,1198,455,0.38
425,BNA,IAD,32,10,0.312
426,BNA,IAH,1280,461,0.36
427,BNA,JAX,892,353,0.396
428,BNA,JFK,310,121,0.39
429,BNA,LAS,880,186,0.211
430,BNA,LAX,1621,576,0.355
431,BNA,LGA,2294,1031,0.449
432,BNA,MCI,1066,376,0.353
433,BNA,MCO,1403,567,0.404
434,BNA,MDW,1997,761,0.381
435,BNA,MIA,51,26,0.51
436,BNA,MOB,1,1,1.0
437,BNA,MSP,980,340,0.347
438,BNA,MSY,1021,324,0.317
439,BNA,OAK,177,71,0.401
440,BNA,ORD,3329,1276,0.383
441,BNA,PHL,612,284,0.464
442,BNA,PHX,724,229,0.316
443,BNA,PIT,329,118,0.359
444,BNA,PNS,593,217,0.366
445,BNA,RDU,977,337,0.345
446,BNA,RSW,100,29,0.29
447,BNA,SAN,384,125,0.326
448,BNA,SAT,565,149,0.264
449,BNA,SEA,184,60,0.326
450,BNA,SLC,342,95,0.278
451,BNA,STL,620,212,0.342
452,BNA,TPA,1203,520,0.432
453,BNA,TTN,2,1,0.5
454,BOI,DEN,1894,710,0.375
455,BOI,EUG,1,0,0.0
456,BOI,GEG,586,197,0.336
457,BOI,IAH,327,130,0.398
458,BOI,LAS,649,297,0.458
459,BOI,LAX,676,291,0.43
460,BOI,MDW,61,27,0.443
461,BOI,MSP,702,209,0.298
462,BOI,OAK,658,162,0.246
463,BOI,ORD,521,255,0.489
464,BOI,PDX,61,39,0.639
465,BOI,PHX,1083,383,0.354
466,BOI,SAN,330,114,0.345
467,BOI,SEA,1031,390,0.378
468,BOI,SFO,1370,554,0.404
469,BOI,SLC,1574,389,0.247
470,BOS,ACK,117,43,0.368
471,BOS,ACY,181,69,0.381
472,BOS,ATL,4581,1457,0.318
473,BOS,AUS,396,104,0.263
474,BOS,BNA,620,178,0.287
475,BOS,BUF,1219,350,0.287
476,BOS,BWI,4305,1533,0.356
477,BOS,CAK,293,140,0.478
478,BOS,CHS,333,104,0.312
479,BOS,CLE,1794,398,0.222
480,BOS,CLT,3508,1400,0.399
481,BOS,CMH,214,38,0.178
482,BOS,CVG,275,133,0.484
483,BOS,DAL,112,21,0.188
484,BOS,DCA,7413,2530,0.341
485,BOS,DEN,2357,1008,0.428
486,BOS,DFW,2979,1003,0.337
487,BOS,DTW,3364,1088,0.323
488,BOS,EWR,4336,1418,0.327
489,BOS,FLL,2142,1045,0.488
490,BOS,HOU,898,286,0.318
491,BOS,IAD,1983,617,0.311
492,BOS,IAH,1633,623,0.382
493,BOS,IND,296,55,0.186
494,BOS,JAX,672,239,0.356
495,BOS,JFK,4893,1868,0.382
496,BOS,LAS,1000,485,0.485
497,BOS,LAX,3940,1511,0.384
498,BOS,LGA,6646,2746,0.413
499,BOS,LGB,267,124,0.464
500,BOS,MCI,593,190,0.32
501,BOS,MCO,2806,1132,0.403
502,BOS,MDW,1346,503,0.374
503,BOS,MIA,2266,820,0.362
504,BOS,MKE,584,235,0.402
505,BOS,MSN,1,0,0.0
506,BOS,MSP,1792,651,0.363
507,BOS,MSY,328,133,0.405
508,BOS,MVY,84,27,0.321
509,BOS,MYR,324,109,0.336
510,BOS,OAK,100,53,0.53
511,BOS,ORD,6368,2417,0.38
512,BOS,PBI,1571,745,0.474
513,BOS,PDX,487,164,0.337
514,BOS,PHL,5139,1606,0.313
515,BOS,PHX,1389,623,0.449
516,BOS,PIT,1136,352,0.31
517,BOS,RDU,1501,510,0.34
518,BOS,RIC,2222,874,0.393
519,BOS,RSW,1593,637,0.4
520,BOS,SAN,932,311,0.334
521,BOS,SAV,327,111,0.339
522,BOS,SEA,1468,662,0.451
523,BOS,SFO,3758,1554,0.414
524,BOS,SJC,192,91,0.474
525,BOS,SJU,1006,525,0.522
526,BOS,SLC,566,200,0.353
527,BOS,SMF,48,30,0.625
528,BOS,SRQ,175,85,0.486
529,BOS,STL,652,271,0.416
530,BOS,STT,199,71,0.357
531,BOS,TPA,1084,429,0.396
532,BPT,DFW,905,407,0.45
533,BQK,ATL,869,293,0.337
534,BQN,EWR,287,143,0.498
535,BQN,FLL,161,81,0.503
536,BQN,JFK,442,114,0.258
537,BQN,MCO,441,116,0.263
538,BRD,INL,2,0,0.0
539,BRD,MSP,580,201,0.347
540,BRO,DFW,1000,315,0.315
541,BRO,IAH,1258,328,0.261
542,BRW,ANC,323,91,0.282
543,BRW,FAI,322,147,0.457
544,BRW,SCC,177,58,0.328
