,ORIGIN_AIRPORT,DESTINATION_AIRPORT,TOTAL_FLIGHTS,ARRIVAL_DELAY,DELAY_RATIO
743,CLE,LAS,1371,402,0.293
744,CLE,LAX,798,313,0.392
745,CLE,LGA,2448,937,0.383
746,CLE,MCO,1376,507,0.368
747,CLE,MDW,1774,526,0.297
748,CLE,MIA,250,111,0.444
749,CLE,MKE,751,219,0.292
750,CLE,MSP,743,274,0.369
751,CLE,MYR,168,37,0.22
752,CLE,ORD,3969,1347,0.339
753,CLE,PHL,103,67,0.65
754,CLE,PHX,721,302,0.419
755,CLE,RDU,380,133,0.35
756,CLE,RSW,617,225,0.365
757,CLE,SCE,0,0,
758,CLE,SEA,151,96,0.636
759,CLE,SFO,442,120,0.271
760,CLE,SJU,43,10,0.233
761,CLE,STL,475,152,0.32
762,CLE,TPA,534,173,0.324
763,CLL,DFW,1515,470,0.31
764,CLL,IAH,685,182,0.266
765,CLT,ABQ,95,37,0.389
766,CLT,ALB,698,314,0.45
767,CLT,ATL,6270,2149,0.343
768,CLT,AUS,421,168,0.399
769,CLT,BDL,1599,685,0.428
770,CLT,BNA,1277,497,0.389
771,CLT,BOS,3516,1675,0.476
772,CLT,BUF,1194,521,0.436
773,CLT,BWI,3332,1466,0.44
774,CLT,CHS,195,75,0.385
775,CLT,CLE,1150,366,0.318
776,CLT,CMH,20,9,0.45
777,CLT,CVG,82,45,0.549
778,CLT,DAB,5,3,0.6
779,CLT,DAL,113,21,0.186
780,CLT,DCA,2426,1129,0.465
781,CLT,DEN,1883,852,0.452
782,CLT,DFW,3957,1522,0.385
783,CLT,DTW,3069,961,0.313
784,CLT,EWR,4001,1777,0.444
785,CLT,FLL,2419,972,0.402
786,CLT,GSO,143,63,0.441
787,CLT,HOU,374,137,0.366
788,CLT,IAD,15,11,0.733
789,CLT,IAH,3528,1446,0.41
790,CLT,ILM,162,50,0.309
791,CLT,IND,532,130,0.244
792,CLT,JAX,2076,840,0.405
793,CLT,JFK,2498,1229,0.492
794,CLT,LAS,1544,614,0.398
795,CLT,LAX,1951,888,0.455
796,CLT,LGA,3479,1736,0.499
797,CLT,MCI,1237,512,0.414
798,CLT,MCO,2940,1484,0.505
799,CLT,MDT,123,50,0.407
800,CLT,MDW,614,167,0.272
801,CLT,MEM,681,332,0.488
802,CLT,MIA,2954,1288,0.436
803,CLT,MSP,2120,763,0.36
804,CLT,MSY,1510,570,0.377
805,CLT,MYR,6,3,0.5
806,CLT,ORD,4540,1871,0.412
807,CLT,ORF,599,247,0.412
808,CLT,PBI,1608,629,0.391
809,CLT,PDX,254,114,0.449
810,CLT,PHL,3349,1542,0.46
811,CLT,PHX,2832,1215,0.429
812,CLT,PIT,2447,993,0.406
813,CLT,PVD,1027,468,0.456
814,CLT,PWM,328,140,0.427
815,CLT,RDU,2105,852,0.405
816,CLT,RIC,1337,552,0.413
817,CLT,ROC,308,109,0.354
818,CLT,RSW,1714,699,0.408
819,CLT,SAN,710,258,0.363
820,CLT,SAT,356,143,0.402
821,CLT,SDF,8,2,0.25
822,CLT,SEA,833,385,0.462
823,CLT,SFO,1814,743,0.41
824,CLT,SGF,112,68,0.607
825,CLT,SJU,707,337,0.477
826,CLT,SLC,616,207,0.336
827,CLT,SMF,193,101,0.523
828,CLT,STL,940,402,0.428
829,CLT,STT,357,185,0.518
830,CLT,STX,29,19,0.655
831,CLT,SYR,591,269,0.455
832,CLT,TPA,2839,1172,0.413
833,CLT,TTN,290,162,0.559
834,CMH,ATL,3244,861,0.265
835,CMH,BNA,614,174,0.283
836,CMH,BOS,213,49,0.23
837,CMH,BWI,1394,504,0.362
838,CMH,CLT,20,8,0.4
839,CMH,DAL,236,78,0.331
840,CMH,DCA,292,68,0.233
841,CMH,DEN,878,330,0.376
842,CMH,DFW,1462,412,0.282
843,CMH,DTW,154,35,0.227
844,CMH,EWR,849,355,0.418
845,CMH,FLL,309,83,0.269
846,CMH,IAD,34,8,0.235
847,CMH,IAH,904,349,0.386
848,CMH,JFK,537,198,0.369
849,CMH,LAS,621,178,0.287
850,CMH,LAX,585,199,0.34
851,CMH,LGA,1308,597,0.456
852,CMH,MCO,1043,283,0.271
853,CMH,MDW,1790,608,0.34
854,CMH,MIA,581,228,0.392
855,CMH,MSP,467,162,0.347
856,CMH,OAK,114,22,0.193
857,CMH,ORD,3127,1110,0.355
858,CMH,PHX,1045,364,0.348
859,CMH,RSW,477,99,0.208
860,CMH,STL,588,191,0.325
861,CMH,TPA,671,159,0.237
862,CMI,DFW,319,119,0.373
863,CMI,ORD,1675,495,0.296
864,CMX,ORD,619,202,0.326
865,CNY,SLC,205,8,0.039
866,COD,DEN,305,135,0.443
867,COD,ORD,9,6,0.667
868,COD,SLC,337,172,0.51
869,COS,ATL,305,88,0.289
870,COS,DEN,2037,725,0.356
871,COS,DFW,1052,296,0.281
872,COS,IAH,878,373,0.425
873,COS,LAX,638,308,0.483
874,COS,ORD,910,407,0.447
875,COS,SEA,327,127,0.388
876,COS,SFO,5,1,0.2
877,COS,SLC,593,148,0.25
878,COU,DFW,626,234,0.374
879,COU,ORD,615,232,0.377
880,CPR,DEN,931,292,0.314
881,CPR,SLC,813,104,0.128
882,CRP,ATL,0,0,
883,CRP,DFW,1397,666,0.477
884,CRP,HOU,1235,364,0.295
885,CRP,HRL,0,0,
886,CRP,IAH,2084,653,0.313
887,CRW,ATL,1287,559,0.434
888,CRW,DFW,138,90,0.652
889,CRW,DTW,1,0,0.0
890,CRW,IAH,271,142,0.524
891,CRW,MYR,64,32,0.5
892,CRW,ORD,554,210,0.379
893,CSG,ATL,1060,382,0.36
894,CVG,ATL,2360,661,0.28
895,CVG,BDL,12,1,0.083
896,CVG,BNA,347,116,0.334
897,CVG,BOS,278,131,0.471
898,CVG,BWI,1,0,0.0
899,CVG,CLT,83,22,0.265
900,CVG,DCA,31,23,0.742
901,CVG,DEN,866,406,0.469
902,CVG,DFW,2018,752,0.373
903,CVG,DTW,441,168,0.381
904,CVG,EWR,1371,455,0.332
905,CVG,FLL,491,142,0.289
906,CVG,GRR,168,65,0.387
907,CVG,IAD,72,11,0.153
908,CVG,IAH,1064,545,0.512
909,CVG,JFK,306,110,0.359
910,CVG,LAS,642,271,0.422
911,CVG,LAX,529,129,0.244
912,CVG,LGA,94,32,0.34
913,CVG,MCI,72,15,0.208
914,CVG,MCO,886,267,0.301
915,CVG,MEM,106,40,0.377
916,CVG,MIA,598,246,0.411
917,CVG,MKE,347,137,0.395
918,CVG,MSN,36,19,0.528
919,CVG,MSP,377,153,0.406
920,CVG,ORD,3901,1533,0.393
921,CVG,PHX,97,50,0.515
922,CVG,PIT,6,2,0.333
923,CVG,RDU,12,3,0.25
924,CVG,RIC,1,0,0.0
925,CVG,RSW,420,118,0.281
926,CVG,SAN,3,0,0.0
927,CVG,SEA,131,53,0.405
928,CVG,SFO,230,66,0.287
929,CVG,SLC,521,108,0.207
930,CVG,STL,49,9,0.184
931,CVG,TPA,314,59,0.188
932,CVG,TTN,3,1,0.333
933,CVG,XNA,183,71,0.388
934,CWA,ATW,0,0,
935,CWA,MSP,25,10,0.4
936,CWA,ORD,1336,410,0.307
937,DAB,ATL,1481,335,0.226
938,DAB,CLT,5,3,0.6
939,DAL,ABQ,1554,782,0.503
940,DAL,AMA,1190,493,0.414
941,DAL,ATL,2831,975,0.344
942,DAL,AUS,3819,1871,0.49
943,DAL,BHM,675,336,0.498
944,DAL,BNA,888,443,0.499
945,DAL,BOS,114,55,0.482
946,DAL,BWI,1069,429,0.401
947,DAL,CHS,131,56,0.427
948,DAL,CLT,113,31,0.274
949,DAL,CMH,237,107,0.451
950,DAL,DCA,2449,954,0.39
951,DAL,DEN,1483,534,0.36
952,DAL,DTW,113,42,0.372
953,DAL,ECP,151,58,0.384
954,DAL,ELP,1271,572,0.45
955,DAL,FLL,856,412,0.481
956,DAL,HOU,6047,2808,0.464
957,DAL,IAH,462,208,0.45
958,DAL,ICT,588,273,0.464
959,DAL,IND,236,121,0.513
960,DAL,LAS,1420,522,0.368
961,DAL,LAX,2464,1359,0.552
962,DAL,LBB,1523,620,0.407
963,DAL,LGA,2470,1242,0.503
964,DAL,LIT,1007,499,0.496
965,DAL,MAF,1476,626,0.424
966,DAL,MCI,2142,1166,0.544
967,DAL,MCO,1002,430,0.429
968,DAL,MDW,1935,774,0.4
969,DAL,MEM,461,212,0.46
970,DAL,MKE,236,74,0.314
971,DAL,MSY,2372,1019,0.43
972,DAL,OAK,591,239,0.404
973,DAL,OKC,931,465,0.499
974,DAL,OMA,114,29,0.254
975,DAL,PDX,236,109,0.462
976,DAL,PHL,113,33,0.292
977,DAL,PHX,1452,633,0.436
978,DAL,PIT,113,36,0.319
979,DAL,RDU,114,56,0.491
980,DAL,SAN,716,315,0.44
981,DAL,SAT,2995,1409,0.47
982,DAL,SEA,342,176,0.515
983,DAL,SFO,1313,666,0.507
984,DAL,SJC,295,155,0.525
985,DAL,SLC,114,33,0.289
986,DAL,SMF,236,125,0.53
987,DAL,SNA,533,259,0.486
988,DAL,STL,2079,960,0.462
989,DAL,TPA,668,307,0.46
990,DAL,TUL,932,504,0.541
991,DAY,ATL,1298,321,0.247
992,DAY,BWI,678,221,0.326
993,DAY,DEN,422,126,0.299
994,DAY,DFW,907,265,0.292
995,DAY,DTW,381,166,0.436
996,DAY,EWR,711,300,0.422
997,DAY,IAD,2,1,0.5
998,DAY,LGA,363,149,0.41
999,DAY,MCO,345,88,0.255
1000,DAY,MSP,596,157,0.263
1001,DAY,ORD,2543,1060,0.417
1002,DAY,TPA,116,58,0.5
1003,DBQ,ORD,869,236,0.272
1004,DCA,ACK,40,17,0.425
1005,DCA,ATL,6336,1856,0.293
1006,DCA,AUS,327,112,0.343
1007,DCA,BDL,648,222,0.343
1008,DCA,BNA,954,293,0.307
1009,DCA,BOS,7414,2586,0.349
1010,DCA,BTR,1,1,1.0
1011,DCA,CAK,263,67,0.255
1012,DCA,CHS,641,222,0.346
1013,DCA,CLE,1353,362,0.268
1014,DCA,CLT,2453,995,0.406
1015,DCA,CMH,287,105,0.366
1016,DCA,CVG,29,21,0.724
1017,DCA,DAL,2443,652,0.267
1018,DCA,DEN,1303,549,0.421
1019,DCA,DFW,3084,1105,0.358
1020,DCA,DTW,1695,576,0.34
1021,DCA,EWR,1384,634,0.458
1022,DCA,FLL,2444,855,0.35
1023,DCA,GSP,3,1,0.333
1024,DCA,HOU,1214,273,0.225
1025,DCA,HPN,3,1,0.333
1026,DCA,HSV,23,10,0.435
1027,DCA,IAH,1991,705,0.354
1028,DCA,IND,695,197,0.283
1029,DCA,JAX,664,203,0.306
1030,DCA,JFK,882,452,0.512
1031,DCA,LAS,320,74,0.231
1032,DCA,LAX,988,277,0.28
1033,DCA,LEX,2,1,0.5
1034,DCA,LGA,3963,1517,0.383
1035,DCA,MCI,630,172,0.273
1036,DCA,MCO,3306,1103,0.334
1037,DCA,MDW,2714,799,0.294
1038,DCA,MIA,2917,1280,0.439
1039,DCA,MKE,944,232,0.246
1040,DCA,MSP,1646,494,0.3
1041,DCA,MSY,693,192,0.277
1042,DCA,ORD,5705,2067,0.362
1043,DCA,PBI,960,371,0.386
1044,DCA,PDX,334,67,0.201
1045,DCA,PHL,100,31,0.31
1046,DCA,PHX,957,421,0.44
1047,DCA,PIT,3,2,0.667
1048,DCA,PNS,9,6,0.667
1049,DCA,PVD,43,16,0.372
1050,DCA,PWM,42,6,0.143
1051,DCA,RDU,28,17,0.607
1052,DCA,RSW,799,270,0.338
1053,DCA,SDF,2,1,0.5
1054,DCA,SEA,654,168,0.257
1055,DCA,SFO,657,195,0.297
1056,DCA,SJU,330,114,0.345
1057,DCA,SLC,626,174,0.278
1058,DCA,STL,951,252,0.265
1059,DCA,SYR,31,25,0.806
1060,DCA,TPA,2651,911,0.344
1061,DEN,ABQ,1636,687,0.42
1062,DEN,ALB,9,1,0.111
1063,DEN,AMA,552,299,0.542
1064,DEN,ANC,415,216,0.52
1065,DEN,ASE,1019,553,0.543
1066,DEN,ATL,5039,1795,0.356
1067,DEN,AUS,2924,1308,0.447
1068,DEN,BDL,338,149,0.441
1069,DEN,BFL,598,309,0.517
1070,DEN,BHM,330,164,0.497
1071,DEN,BIL,1095,428,0.391
1072,DEN,BIS,1261,540,0.428
1073,DEN,BMI,3,2,0.667
1074,DEN,BNA,2044,866,0.424
1075,DEN,BOI,1931,769,0.398
1076,DEN,BOS,2366,920,0.389
1077,DEN,BUR,1241,533,0.429
1078,DEN,BWI,1872,758,0.405
1079,DEN,BZN,853,362,0.424
1080,DEN,CAK,270,100,0.37
1081,DEN,CID,666,293,0.44
1082,DEN,CLE,1357,440,0.324
1083,DEN,CLT,1884,729,0.387
1084,DEN,CMH,690,263,0.381
1085,DEN,COD,300,132,0.44
1086,DEN,COS,2018,965,0.478
1087,DEN,CPR,933,352,0.377
1088,DEN,CVG,961,567,0.59
1089,DEN,DAL,1456,577,0.396
1090,DEN,DAY,484,245,0.506
1091,DEN,DCA,1306,505,0.387
1092,DEN,DFW,6005,2555,0.425
1093,DEN,DIK,326,133,0.408
1094,DEN,DRO,555,194,0.35
1095,DEN,DSM,958,430,0.449
1096,DEN,DTW,2655,1056,0.398
1097,DEN,EGE,6,6,1.0
1098,DEN,ELP,910,432,0.475
1099,DEN,EUG,620,275,0.444
1100,DEN,EWR,2546,1090,0.428
1101,DEN,FAR,1215,544,0.448
1102,DEN,FAT,998,480,0.481
1103,DEN,FCA,761,380,0.499
1104,DEN,FLL,1205,429,0.356
1105,DEN,FSD,1292,591,0.457
1106,DEN,GCC,626,171,0.273
1107,DEN,GEG,1326,545,0.411
1108,DEN,GJT,450,163,0.362
1109,DEN,GRR,692,289,0.418
1110,DEN,GSO,133,54,0.406
1111,DEN,GTF,757,309,0.408
1112,DEN,GUC,261,130,0.498
1113,DEN,HDN,91,50,0.549
1114,DEN,HLN,329,166,0.505
1115,DEN,HNL,327,205,0.627
1116,DEN,HOU,1746,733,0.42
1117,DEN,HSV,143,89,0.622
1118,DEN,HYS,561,144,0.257
1119,DEN,IAD,3135,1166,0.372
1120,DEN,IAH,4766,2251,0.472
1121,DEN,ICT,824,357,0.433
1122,DEN,IDA,891,414,0.465
1123,DEN,IND,1872,767,0.41
1124,DEN,ISN,1133,493,0.435
1125,DEN,JAC,929,412,0.443
1126,DEN,JAX,336,166,0.494
1127,DEN,JFK,807,324,0.401
1128,DEN,JMS,509,185,0.363
1129,DEN,KOA,86,40,0.465
1130,DEN,LAR,554,133,0.24
1131,DEN,LAS,6208,2423,0.39
1132,DEN,LAX,5640,2769,0.491
1133,DEN,LBB,583,326,0.559
1134,DEN,LFT,179,52,0.291
1135,DEN,LGA,3197,1236,0.387
1136,DEN,LIH,41,22,0.537
1137,DEN,LIT,611,261,0.427
1138,DEN,LNK,752,323,0.43
1139,DEN,MAF,1054,442,0.419
1140,DEN,MCI,2082,890,0.427
1141,DEN,MCO,2873,1193,0.415
1142,DEN,MDT,2,2,1.0
1143,DEN,MDW,2640,947,0.359
1144,DEN,MEM,685,319,0.466
1145,DEN,MFR,516,258,0.5
1146,DEN,MIA,1329,608,0.457
1147,DEN,MKE,2012,868,0.431
1148,DEN,MLI,184,85,0.462
1149,DEN,MMH,9,4,0.444
1150,DEN,MOT,1002,400,0.399
1151,DEN,MSN,709,255,0.36
1152,DEN,MSO,556,220,0.396
1153,DEN,MSP,5468,2177,0.398
1154,DEN,MSY,1546,638,0.413
1155,DEN,MTJ,445,212,0.476
1156,DEN,OAK,1227,449,0.366
1157,DEN,OGG,168,85,0.506
1158,DEN,OKC,1766,746,0.422
1159,DEN,OMA,2030,942,0.464
1160,DEN,ONT,1148,491,0.428
1161,DEN,ORD,5472,2465,0.45
1162,DEN,OTH,27,13,0.481
1163,DEN,PBI,74,30,0.405
1164,DEN,PDX,3420,1222,0.357
1165,DEN,PHF,3,1,0.333
1166,DEN,PHL,2097,758,0.361
1167,DEN,PHX,7152,3009,0.421
1168,DEN,PIA,4,4,1.0
1169,DEN,PIT,996,387,0.389
1170,DEN,PSC,688,359,0.522
1171,DEN,PSP,980,405,0.413
1172,DEN,PUB,255,65,0.255
1173,DEN,RAP,577,251,0.435
1174,DEN,RDM,471,221,0.469
1175,DEN,RDU,896,409,0.456
1176,DEN,RKS,611,157,0.257
1177,DEN,RNO,1362,481,0.353
1178,DEN,RSW,380,131,0.345
1179,DEN,SAF,286,139,0.486
1180,DEN,SAN,3885,1486,0.382
1181,DEN,SAT,1716,714,0.416
1182,DEN,SBA,644,319,0.495
1183,DEN,SDF,583,260,0.446
1184,DEN,SEA,5108,2177,0.426
1185,DEN,SFO,5313,2321,0.437
1186,DEN,SGF,599,286,0.477
1187,DEN,SGU,581,236,0.406
1188,DEN,SHV,313,176,0.562
1189,DEN,SJC,2100,798,0.38
1190,DEN,SLC,5819,2294,0.394
1191,DEN,SMF,2377,889,0.374
1192,DEN,SNA,3315,1124,0.339
1193,DEN,STL,1825,794,0.435
1194,DEN,SUN,105,72,0.686
1195,DEN,TPA,1576,698,0.443
1196,DEN,TUL,1468,683,0.465
1197,DEN,TUS,1838,811,0.441
1198,DEN,TYS,278,141,0.507
1199,DEN,XNA,359,149,0.415
1200,DFW,ABI,2224,748,0.336
1201,DFW,ABQ,1753,602,0.343
1202,DFW,ACT,1541,646,0.419
1203,DFW,AEX,940,401,0.427
1204,DFW,AMA,1123,523,0.466
1205,DFW,ANC,119,58,0.487
1206,DFW,ASE,297,164,0.552
1207,DFW,ATL,6951,2430,0.35
1208,DFW,AUS,4538,1717,0.378
1209,DFW,BDL,622,237,0.381
1210,DFW,BHM,598,272,0.455
1211,DFW,BIS,329,145,0.441
1212,DFW,BMI,628,263,0.419
1213,DFW,BNA,2672,912,0.341
1214,DFW,BOS,2983,1096,0.367
1215,DFW,BPT,915,476,0.52
1216,DFW,BRO,1005,374,0.372
1217,DFW,BTR,2241,1076,0.48
1218,DFW,BWI,1737,739,0.425
1219,DFW,CAE,935,499,0.534
1220,DFW,CHA,619,321,0.519
1221,DFW,CHS,238,135,0.567
1222,DFW,CID,981,464,0.473
1223,DFW,CLE,1530,519,0.339
1224,DFW,CLL,1519,516,0.34
1225,DFW,CLT,3955,1531,0.387
1226,DFW,CMH,1477,456,0.309
1227,DFW,CMI,322,123,0.382
1228,DFW,COS,1053,351,0.333
1229,DFW,COU,635,231,0.364
1230,DFW,CRP,1396,751,0.538
1231,DFW,CRW,139,90,0.647
1232,DFW,CVG,2040,989,0.485
1233,DFW,DAY,908,319,0.351
1234,DFW,DCA,3092,1152,0.373
1235,DFW,DEN,5949,2484,0.418
1236,DFW,DRO,779,287,0.368
1237,DFW,DSM,821,330,0.402
1238,DFW,DTW,2594,998,0.385
1239,DFW,EGE,420,187,0.445
1240,DFW,ELP,1330,470,0.353
1241,DFW,EVV,348,148,0.425
1242,DFW,EWR,2422,1053,0.435
1243,DFW,FAR,356,117,0.329
1244,DFW,FAT,607,204,0.336
1245,DFW,FLL,2654,1205,0.454
1246,DFW,FSD,335,188,0.561
1247,DFW,FSM,1248,555,0.445
1248,DFW,FWA,629,272,0.432
1249,DFW,GCK,635,249,0.392
1250,DFW,GGG,616,229,0.372
1251,DFW,GJT,832,282,0.339
1252,DFW,GPT,896,421,0.47
1253,DFW,GRI,611,182,0.298
1254,DFW,GRK,2503,925,0.37
1255,DFW,GRR,732,382,0.522
1256,DFW,GSO,494,286,0.579
1257,DFW,GSP,462,223,0.483
1258,DFW,GUC,122,47,0.385
1259,DFW,HDN,133,47,0.353
1260,DFW,HNL,688,435,0.632
1261,DFW,HOU,1510,662,0.438
1262,DFW,HSV,274,102,0.372
1263,DFW,IAD,1278,477,0.373
1264,DFW,IAH,3891,1516,0.39
1265,DFW,ICT,773,306,0.396
1266,DFW,IND,1560,554,0.355
1267,DFW,JAC,365,131,0.359
1268,DFW,JAN,2192,1119,0.51
1269,DFW,JAX,1228,422,0.344
1270,DFW,JFK,545,253,0.464
1271,DFW,JLN,640,258,0.403
1272,DFW,LAS,4226,1583,0.375
1273,DFW,LAW,1238,469,0.379
1274,DFW,LAX,6540,2611,0.399
1275,DFW,LBB,671,304,0.453
1276,DFW,LCH,749,319,0.426
1277,DFW,LEX,738,356,0.482
1278,DFW,LFT,1552,690,0.445
1279,DFW,LGA,4328,1811,0.418
1280,DFW,LIT,1271,668,0.526
1281,DFW,LRD,1237,495,0.4
1282,DFW,MAF,1081,526,0.487
1283,DFW,MCI,2505,941,0.376
1284,DFW,MCO,3751,1616,0.431
1285,DFW,MEI,565,249,0.441
1286,DFW,MEM,842,283,0.336
1287,DFW,MFE,1398,474,0.339
1288,DFW,MGM,936,454,0.485
1289,DFW,MHK,952,357,0.375
1290,DFW,MIA,3616,1768,0.489
1291,DFW,MKE,976,307,0.315
1292,DFW,MLI,901,385,0.427
1293,DFW,MLU,923,406,0.44
1294,DFW,MOB,928,469,0.505
1295,DFW,MSN,897,420,0.468
1296,DFW,MSP,2530,942,0.372
1297,DFW,MSY,2572,925,0.36
1298,DFW,MTJ,92,37,0.402
1299,DFW,MYR,61,21,0.344
1300,DFW,OAK,329,76,0.231
1301,DFW,OGG,495,326,0.659
1302,DFW,OKC,2622,1047,0.399
1303,DFW,OMA,1326,455,0.343
1304,DFW,ONT,1410,519,0.368
1305,DFW,ORD,7657,2931,0.383
1306,DFW,ORF,615,241,0.392
1307,DFW,PBI,829,369,0.445
1308,DFW,PDX,1795,636,0.354
1309,DFW,PHL,3527,1351,0.383
1310,DFW,PHX,4080,1513,0.371
1311,DFW,PIA,901,370,0.411
1312,DFW,PIT,1400,440,0.314
1313,DFW,PNS,1117,509,0.456
1314,DFW,PSP,704,304,0.432
1315,DFW,RAP,503,208,0.414
1316,DFW,RDU,1575,585,0.371
1317,DFW,RIC,783,248,0.317
1318,DFW,RNO,729,283,0.388
1319,DFW,ROW,916,323,0.353
1320,DFW,RSW,1142,484,0.424
1321,DFW,SAF,938,312,0.333
1322,DFW,SAN,3245,1240,0.382
1323,DFW,SAT,4587,1622,0.354
1324,DFW,SAV,699,325,0.465
1325,DFW,SDF,290,107,0.369
1326,DFW,SEA,3497,1260,0.36
1327,DFW,SFO,4468,1859,0.416
1328,DFW,SGF,2141,938,0.438
1329,DFW,SHV,2179,962,0.441
1330,DFW,SJC,1483,501,0.338
1331,DFW,SJT,1553,545,0.351
1332,DFW,SJU,583,284,0.487
1333,DFW,SLC,2939,1043,0.355
1334,DFW,SMF,1301,433,0.333
1335,DFW,SNA,2807,1009,0.359
1336,DFW,SPI,565,224,0.396
1337,DFW,SPS,1170,412,0.352
1338,DFW,STL,2480,801,0.323
1339,DFW,TLH,638,313,0.491
1340,DFW,TPA,2461,939,0.382
1341,DFW,TUL,2576,923,0.358
1342,DFW,TUS,2142,727,0.339
1343,DFW,TXK,915,352,0.385
1344,DFW,TYR,1535,681,0.444
1345,DFW,TYS,1576,925,0.587
1346,DFW,VPS,1682,789,0.469
1347,DFW,XNA,2139,1092,0.511
1348,DHN,ATL,1243,538,0.433
1349,DIK,DEN,329,79,0.24
1350,DIK,MSP,589,112,0.19
1351,DLG,ANC,77,17,0.221
1352,DLH,MSP,607,228,0.376
1353,DLH,ORD,1059,550,0.519
1354,DRO,DEN,559,229,0.41
1355,DRO,DFW,781,293,0.375
1356,DRO,PHX,679,241,0.355
1357,DSM,ATL,917,229,0.25
1358,DSM,DEN,1139,465,0.408
1359,DSM,DFW,819,285,0.348
1360,DSM,DTW,183,57,0.311
1361,DSM,EWR,184,67,0.364
1362,DSM,IAH,496,225,0.454
1363,DSM,LAS,331,106,0.32
1364,DSM,LGA,1,0,0.0
1365,DSM,MDW,626,182,0.291
1366,DSM,MSP,238,111,0.466
1367,DSM,ORD,2890,1036,0.358
1368,DSM,PHX,203,102,0.502
1369,DSM,SLC,74,34,0.459
1370,DTW,ABE,688,212,0.308
1371,DTW,ACY,145,54,0.372
1372,DTW,ALB,494,141,0.285
1373,DTW,APN,549,129,0.235
1374,DTW,ATL,4823,1596,0.331
1375,DTW,ATW,480,146,0.304
1376,DTW,AUS,245,82,0.335
1377,DTW,AVP,464,152,0.328
1378,DTW,AZO,360,114,0.317
1379,DTW,BDL,1340,383,0.286
1380,DTW,BGM,258,89,0.345
1381,DTW,BGR,310,108,0.348
1382,DTW,BHM,579,196,0.339
1383,DTW,BMI,136,39,0.287
1384,DTW,BNA,1974,568,0.288
1385,DTW,BOS,3372,1029,0.305
1386,DTW,BTV,518,193,0.373
1387,DTW,BUF,793,246,0.31
1388,DTW,BWI,2389,712,0.298
1389,DTW,CAK,189,42,0.222
1390,DTW,CHA,435,147,0.338
1391,DTW,CHS,281,63,0.224
1392,DTW,CID,717,222,0.31
1393,DTW,CIU,596,211,0.354
1394,DTW,CLE,672,247,0.368
1395,DTW,CLT,3059,943,0.308
1396,DTW,CMH,159,54,0.34
1397,DTW,CRW,1,0,0.0
1398,DTW,CVG,389,123,0.316
1399,DTW,DAL,113,15,0.133
1400,DTW,DAY,412,125,0.303
1401,DTW,DCA,1684,592,0.352
1402,DTW,DEN,2669,912,0.342
1403,DTW,DFW,2583,954,0.369
1404,DTW,DSM,216,79,0.366
1405,DTW,ELM,1413,531,0.376
1406,DTW,ERI,98,36,0.367
1407,DTW,ESC,551,140,0.254
1408,DTW,EVV,763,246,0.322
1409,DTW,EWR,2082,762,0.366
1410,DTW,FLL,2616,862,0.33
1411,DTW,FWA,989,296,0.299
1412,DTW,GRB,650,194,0.298
1413,DTW,GRR,1335,499,0.374
1414,DTW,GSO,402,143,0.356
1415,DTW,GSP,218,75,0.344
1416,DTW,HPN,131,49,0.374
1417,DTW,HSV,89,30,0.337
1418,DTW,IAD,691,240,0.347
1419,DTW,IAH,1972,799,0.405
1420,DTW,IND,803,275,0.342
1421,DTW,ITH,31,13,0.419
1422,DTW,JAX,231,70,0.303
1423,DTW,JFK,298,121,0.406
1424,DTW,LAN,429,138,0.322
1425,DTW,LAS,2917,962,0.33
1426,DTW,LAX,1997,708,0.355
1427,DTW,LEX,489,141,0.288
1428,DTW,LGA,4233,1874,0.443
1429,DTW,LIT,275,97,0.353
1430,DTW,MBS,428,177,0.414
1431,DTW,MCI,1412,487,0.345
1432,DTW,MCO,2622,1009,0.385
1433,DTW,MDT,520,135,0.26
1434,DTW,MDW,2733,1057,0.387
1435,DTW,MEM,442,112,0.253
1436,DTW,MHT,371,82,0.221
1437,DTW,MIA,1194,377,0.316
1438,DTW,MKE,1712,496,0.29
1439,DTW,MLI,210,77,0.367
1440,DTW,MQT,17,6,0.353
1441,DTW,MSN,1417,448,0.316
1442,DTW,MSP,2641,957,0.362
1443,DTW,MSY,974,347,0.356
1444,DTW,MYR,382,140,0.366
1445,DTW,OKC,322,109,0.339
1446,DTW,OMA,643,194,0.302
1447,DTW,ORD,4110,1649,0.401
1448,DTW,ORF,531,131,0.247
1449,DTW,PBI,363,106,0.292
1450,DTW,PDX,223,87,0.39
1451,DTW,PHL,1970,686,0.348
1452,DTW,PHX,2699,926,0.343
1453,DTW,PIA,362,100,0.276
1454,DTW,PIT,623,214,0.343
1455,DTW,PLN,731,248,0.339
1456,DTW,PVD,788,233,0.296
1457,DTW,PWM,512,160,0.312
1458,DTW,RDU,921,271,0.294
1459,DTW,RIC,864,304,0.352
1460,DTW,ROC,301,78,0.259
1461,DTW,RST,7,4,0.571
1462,DTW,RSW,1606,556,0.346
1463,DTW,SAN,704,237,0.337
1464,DTW,SAT,453,192,0.424
1465,DTW,SAV,158,61,0.386
1466,DTW,SBN,1288,382,0.297
1467,DTW,SCE,208,36,0.173
1468,DTW,SDF,76,36,0.474
1469,DTW,SEA,1890,697,0.369
1470,DTW,SFO,1306,421,0.322
1471,DTW,SJU,25,13,0.52
